#type Date UTC      F_10_7       F81      KP
#type=R - Real Data;  type=F - Forec
R 2003/08/29    116.000    126.765      3.000
R 2003/08/30    114.000    125.988      3.000
R 2003/08/31    110.000    124.963      3.000
R 2003/09/01    108.000    124.272      3.000
R 2003/09/02    106.000    123.716      5.000
R 2003/09/03    111.000    123.432      5.000
R 2003/09/04    112.000    123.222      4.000
R 2003/09/05    108.000    123.037      3.000
R 2003/09/06    105.000    122.827      3.000
R 2003/09/07    108.000    122.679      3.000
R 2003/09/08     99.000    122.383      5.000
R 2003/09/09     96.000    122.123      4.000
R 2003/09/10     99.000    121.926      4.000
R 2003/09/11     97.000    121.765      4.000
R 2003/09/12     94.000    121.519      3.000
R 2003/09/13     96.000    121.284      3.000
R 2003/09/14     95.000    121.025      3.000
R 2003/09/15     97.000    120.753      3.000
R 2003/09/16     99.000    120.444      3.000
R 2003/09/17    106.000    120.222      6.000
R 2003/09/18    109.000    120.000      5.000
R 2003/09/19    111.000    119.790      5.000
R 2003/09/20    112.000    119.556      5.000
R 2003/09/21    120.000    119.370      4.000
R 2003/09/22    123.000    119.259      3.000
R 2003/09/23    125.000    119.074      3.000
R 2003/09/24    134.000    118.975      3.000
R 2003/09/25    133.000    119.012      3.000
R 2003/09/26    131.000    118.988      3.000
R 2003/09/27    130.000    118.975      3.000
R 2003/09/28    137.000    119.111      3.000
R 2003/09/29    135.000    119.259      3.000
R 2003/09/30    133.000    119.395      4.000
R 2003/10/01    137.000    119.580      4.000
R 2003/10/02    125.000    119.556      3.000
R 2003/10/03    120.000    119.469      3.000
R 2003/10/04    119.000    119.383      3.000
R 2003/10/05    110.000    119.099      3.000
R 2003/10/06    112.000    118.765      4.000
R 2003/10/07    112.000    118.420      4.000
R 2003/10/08    113.000    118.012      3.000
R 2003/10/09    111.000    117.444      3.000
R 2003/10/10    112.000    116.901      3.000
R 2003/10/11    106.000    116.321      3.000
R 2003/10/12     98.000    115.753      3.000
R 2003/10/13     94.000    115.370      5.000
R 2003/10/14     92.000    115.123      6.000
R 2003/10/15     96.000    115.037      6.000
R 2003/10/16     95.000    114.951      5.000
R 2003/10/17     99.000    114.901      5.000
